"","carr","gene","estr","orig","age","Age"
"255","Fisi","M","medio","Bogo",17,"Media"
"256","Fisi","F","alto","Bogo",16,"Baja"
"257","Fisi","F","alto","Bogo",16,"Baja"
"258","Fisi","M","medio","Bogo",17,"Media"
"259","Fisi","M","alto","Bogo",16,"Baja"
"260","Fisi","M","medio","Bogo",18,"Media"
"261","Fisi","M","alto","Bogo",18,"Media"
"262","Fisi","M","alto","Bogo",18,"Media"
"263","Fisi","M","alto","Bogo",32,"Alta"
"264","Fisi","M","bajo","Otro",16,"Baja"
"265","Fisi","M","medio","Bogo",20,"Alta"
"266","Fisi","M","bajo","Bogo",16,"Baja"
"267","Fisi","M","medio","Bogo",19,"Alta"
"268","Fisi","M","medio","Bogo",27,"Alta"
"269","Fisi","F","medio","Bogo",17,"Media"
"270","Fisi","F","medio","Bogo",17,"Media"
"271","Fisi","M","medio","Bogo",18,"Media"
"272","Fisi","M","medio","Bogo",23,"Alta"
"273","Fisi","M","medio","Bogo",17,"Media"
"274","Fisi","M","medio","Bogo",22,"Alta"
"275","Fisi","M","bajo","Bogo",17,"Media"
"276","Fisi","M","bajo","Otro",17,"Media"
"277","Fisi","M","bajo","Otro",17,"Media"
"278","Fisi","M","medio","Otro",16,"Baja"
"279","Fisi","M","medio","Otro",17,"Media"
"280","Fisi","M","medio","Otro",17,"Media"
"281","Fisi","M","bajo","Otro",17,"Media"
"282","Fisi","M","bajo","Otro",16,"Baja"
"283","Fisi","M","bajo","Otro",16,"Baja"
"284","Fisi","M","medio","Bogo",39,"Alta"
"285","Geol","M","bajo","Bogo",17,"Media"
"286","Geol","F","alto","Bogo",17,"Media"
"287","Geol","M","medio","Bogo",17,"Media"
"288","Geol","M","alto","Bogo",16,"Baja"
"289","Geol","M","medio","Bogo",19,"Alta"
"290","Geol","M","medio","Bogo",17,"Media"
"291","Geol","M","bajo","Bogo",17,"Media"
"292","Geol","M","bajo","Bogo",17,"Media"
"293","Geol","M","medio","Bogo",16,"Baja"
"294","Geol","M","alto","Bogo",17,"Media"
"295","Geol","M","alto","Cund",17,"Media"
"296","Geol","M","alto","Cund",17,"Media"
"297","Geol","M","bajo","Cund",17,"Media"
"298","Geol","M","medio","Cund",16,"Baja"
"299","Geol","M","bajo","Otro",17,"Media"
"300","Geol","M","bajo","Otro",19,"Alta"
"301","Geol","M","bajo","Bogo",20,"Alta"
"302","Geol","M","bajo","Bogo",16,"Baja"
"303","Geol","F","bajo","Otro",17,"Media"
"304","Geol","M","bajo","Cund",25,"Alta"
"305","Geol","M","medio","Otro",17,"Media"
"306","Geol","M","alto","Otro",16,"Baja"
"307","Geol","F","medio","Bogo",16,"Baja"
"308","Geol","M","alto","Bogo",16,"Baja"
"309","Geol","M","bajo","Otro",15,"Baja"
"310","Geol","M","alto","Bogo",18,"Media"
"311","Geol","F","alto","Bogo",17,"Media"
"312","Geol","M","alto","Bogo",16,"Baja"
"313","Geol","F","medio","Bogo",17,"Media"
"314","Geol","F","alto","Bogo",18,"Media"
"315","Geol","M","alto","Bogo",17,"Media"
"316","Geol","F","alto","Bogo",16,"Baja"
"317","Geol","M","bajo","Otro",17,"Media"
"318","Geol","M","alto","Bogo",16,"Baja"
"319","Geol","F","bajo","Bogo",21,"Alta"
"320","Geol","M","medio","Bogo",17,"Media"
"321","Geol","M","alto","Bogo",17,"Media"
"322","Geol","M","bajo","Bogo",20,"Alta"
"323","Geol","M","alto","Bogo",17,"Media"
"324","Geol","M","alto","Bogo",17,"Media"
"325","Geol","M","alto","Bogo",17,"Media"
"326","Geol","M","bajo","Bogo",17,"Media"
"327","Geol","M","bajo","Bogo",17,"Media"
"328","Geol","M","bajo","Otro",17,"Media"
"329","Geol","M","bajo","Otro",19,"Alta"
"330","Mate","F","medio","Bogo",31,"Alta"
"331","Mate","M","bajo","Bogo",17,"Media"
"332","Mate","M","medio","Bogo",18,"Media"
"333","Mate","M","medio","Bogo",17,"Media"
"334","Mate","M","medio","Bogo",20,"Alta"
"335","Mate","M","medio","Bogo",16,"Baja"
"336","Mate","M","medio","Bogo",18,"Media"
"337","Mate","M","medio","Bogo",23,"Alta"
"338","Mate","F","medio","Bogo",17,"Media"
"339","Mate","M","medio","Bogo",17,"Media"
"340","Mate","M","medio","Bogo",17,"Media"
"341","Mate","M","medio","Bogo",18,"Media"
"342","Mate","M","bajo","Bogo",20,"Alta"
"343","Mate","M","medio","Cund",15,"Baja"
"344","Mate","M","bajo","Otro",16,"Baja"
"345","Mate","M","bajo","Cund",17,"Media"
"346","Mate","M","medio","Bogo",28,"Alta"
"347","Mate","M","bajo","Bogo",18,"Media"
"348","Mate","M","medio","Otro",17,"Media"
"349","Mate","M","medio","Bogo",21,"Alta"
"350","Mate","M","medio","Bogo",19,"Alta"
"351","Mate","M","bajo","Bogo",21,"Alta"
"352","Mate","M","bajo","Bogo",16,"Baja"
"353","Mate","M","bajo","Bogo",44,"Alta"
"354","Mate","M","bajo","Bogo",25,"Alta"
"355","Mate","F","bajo","Cund",19,"Alta"
"356","Mate","M","alto","Bogo",17,"Media"
"357","Mate","M","bajo","Bogo",17,"Media"
"358","Mate","M","medio","Bogo",18,"Media"
"359","Mate","M","alto","Bogo",17,"Media"
"360","Mate","M","bajo","Bogo",24,"Alta"
"361","Mate","M","medio","Otro",20,"Alta"
"362","Mate","M","medio","Bogo",20,"Alta"
"363","Mate","M","alto","Otro",16,"Baja"
"364","Mate","M","bajo","Cund",23,"Alta"
"365","Mate","M","bajo","Otro",16,"Baja"
"366","Mate","M","alto","Bogo",30,"Alta"
"367","Mate","M","bajo","Bogo",17,"Media"
"368","Mate","M","alto","Bogo",19,"Alta"
"369","Mate","M","medio","Bogo",17,"Media"
"370","Mate","M","bajo","Bogo",16,"Baja"
"371","Mate","M","alto","Bogo",29,"Alta"
"372","Mate","M","bajo","Otro",25,"Alta"
"373","Mate","M","medio","Bogo",17,"Media"
"374","Mate","F","medio","Bogo",16,"Baja"
"375","Mate","M","medio","Bogo",30,"Alta"
"376","Mate","F","medio","Bogo",19,"Alta"
"377","Mate","M","medio","Bogo",16,"Baja"
"378","Mate","M","bajo","Otro",19,"Alta"
"379","Mate","M","bajo","Otro",25,"Alta"
"380","Mate","F","alto","Otro",16,"Baja"
"381","Mate","M","bajo","Otro",16,"Baja"
"382","Mate","M","bajo","Otro",17,"Media"
"383","Quim","F","medio","Bogo",16,"Baja"
"384","Quim","F","bajo","Bogo",18,"Media"
"385","Quim","F","medio","Bogo",18,"Media"
"386","Quim","M","alto","Bogo",16,"Baja"
"387","Quim","M","medio","Bogo",21,"Alta"
"388","Quim","M","medio","Bogo",19,"Alta"
"389","Quim","M","bajo","Bogo",16,"Baja"
"390","Quim","M","bajo","Bogo",16,"Baja"
"391","Quim","F","medio","Bogo",16,"Baja"
"392","Quim","M","medio","Bogo",20,"Alta"
"393","Quim","F","bajo","Bogo",18,"Media"
"394","Quim","M","alto","Bogo",17,"Media"
"395","Quim","M","medio","Bogo",18,"Media"
"396","Quim","M","bajo","Bogo",19,"Alta"
"397","Quim","M","medio","Bogo",21,"Alta"
"398","Quim","F","bajo","Cund",16,"Baja"
"399","Quim","M","bajo","Bogo",20,"Alta"
"400","Quim","F","bajo","Bogo",18,"Media"
"401","Quim","M","medio","Bogo",16,"Baja"
"402","Quim","M","bajo","Bogo",17,"Media"
"403","Quim","M","medio","Bogo",23,"Alta"
"404","Quim","M","bajo","Otro",16,"Baja"
"405","Quim","M","bajo","Otro",18,"Media"
"406","Quim","M","bajo","Cund",19,"Alta"
"407","Quim","M","bajo","Bogo",19,"Alta"
"408","Quim","M","bajo","Otro",16,"Baja"
"409","Quim","F","bajo","Otro",16,"Baja"
"410","Quim","F","medio","Otro",17,"Media"
"411","Quim","M","alto","Bogo",18,"Media"
"412","Quim","M","medio","Cund",16,"Baja"
"413","Quim","M","medio","Cund",17,"Media"
"414","Quim","M","medio","Cund",17,"Media"
"415","Quim","M","medio","Cund",16,"Baja"
"416","Quim","M","bajo","Cund",27,"Alta"
"417","Quim","F","bajo","Otro",16,"Baja"
"418","Quim","M","bajo","Otro",16,"Baja"
"419","Quim","M","bajo","Cund",23,"Alta"
"420","Quim","F","alto","Otro",17,"Media"
"421","Quim","M","medio","Otro",15,"Baja"
"422","Quim","M","bajo","Otro",17,"Media"
"423","Quim","F","alto","Otro",17,"Media"
"424","Quim","F","medio","Bogo",16,"Baja"
"425","Quim","M","alto","Bogo",16,"Baja"
"426","Quim","M","medio","Otro",16,"Baja"
"427","Quim","F","medio","Bogo",16,"Baja"
"428","Quim","M","alto","Bogo",17,"Media"
"429","Quim","F","bajo","Bogo",17,"Media"
"430","Quim","F","medio","Bogo",16,"Baja"
"431","Quim","F","medio","Bogo",16,"Baja"
"432","Quim","M","alto","Bogo",17,"Media"
"433","Quim","F","bajo","Bogo",16,"Baja"
"434","Quim","M","bajo","Bogo",19,"Alta"
"435","Quim","M","bajo","Bogo",17,"Media"
"436","Quim","M","bajo","Bogo",17,"Media"
"437","Quim","M","medio","Bogo",21,"Alta"
"438","Quim","M","medio","Bogo",17,"Media"
"439","Quim","F","medio","Bogo",17,"Media"
"440","Quim","F","bajo","Bogo",17,"Media"
"441","Quim","M","bajo","Otro",19,"Alta"
"442","Quim","M","bajo","Otro",16,"Baja"
"443","Quim","M","bajo","Otro",16,"Baja"
"444","Quim","M","bajo","Otro",18,"Media"
"445","Quim","F","bajo","Otro",17,"Media"
